Year,City,Sport,Discipline,Country,Gender,Event,Medal,Athlete
1924,Chamonix,Biathlon,Biathlon,FIN,Men,Military Patrol,Silver,FIN
1924,Chamonix,Biathlon,Biathlon,FRA,Men,Military Patrol,Bronze,FRA
1924,Chamonix,Biathlon,Biathlon,SUI,Men,Military Patrol,Gold,SUI
1924,Chamonix,Bobsleigh,Bobsleigh,BEL,Men,Four-Man,Bronze,BEL
1924,Chamonix,Bobsleigh,Bobsleigh,GBR,Men,Four-Man,Silver,GBR
1924,Chamonix,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Gold,SUI
1924,Chamonix,Curling,Curling,FRA,Men,Curling,Bronze,FRA
1924,Chamonix,Curling,Curling,GBR,Men,Curling,Gold,GBR
1924,Chamonix,Curling,Curling,SWE,Men,Curling,Silver,SWE
1924,Chamonix,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold,CAN
1924,Chamonix,Ice Hockey,Ice Hockey,GBR,Men,Ice Hockey,Bronze,GBR
1924,Chamonix,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Silver,USA
1924,Chamonix,Skating,Figure skating,AUT,Men,Individual,Silver,"BÖCKL, Willy"
1924,Chamonix,Skating,Figure skating,AUT,Men,Pairs,Gold,"BERGER, Alfred"
1924,Chamonix,Skating,Figure skating,AUT,Women,Individual,Gold,"SZABO-PLANK, Herma"
1924,Chamonix,Skating,Figure skating,AUT,Women,Pairs,Gold,"ENGELMANN, Helene"
1924,Chamonix,Skating,Figure skating,FIN,Men,Pairs,Silver,"JAKOBSSON, Walter"
1924,Chamonix,Skating,Figure skating,FIN,Women,Pairs,Silver,"JAKOBSSON, Ludowika"
1924,Chamonix,Skating,Figure skating,FRA,Men,Pairs,Bronze,"BRUNET, Pierre"
1924,Chamonix,Skating,Figure skating,FRA,Women,Pairs,Bronze,"BRUNET, Andrée"
1924,Chamonix,Skating,Figure skating,GBR,Women,Individual,Bronze,"MUCKELT, Ethel"
1924,Chamonix,Skating,Figure skating,SUI,Men,Individual,Bronze,"GAUTSCHI, Georges"
1924,Chamonix,Skating,Figure skating,SWE,Men,Individual,Gold,"GRAFSTRÖM, Gillis"
1924,Chamonix,Skating,Figure skating,USA,Women,Individual,Silver,"LOUGHRAN, Beatrix"
1924,Chamonix,Skating,Speed skating,FIN,Men,10000M,Gold,"SKUTNABB, Julius"
1924,Chamonix,Skating,Speed skating,FIN,Men,10000M,Silver,"THUNBERG, Clas"
1924,Chamonix,Skating,Speed skating,FIN,Men,1500M,Gold,"THUNBERG, Clas"
1924,Chamonix,Skating,Speed skating,FIN,Men,5000M,Gold,"THUNBERG, Clas"
1924,Chamonix,Skating,Speed skating,FIN,Men,5000M,Silver,"SKUTNABB, Julius"
1924,Chamonix,Skating,Speed skating,FIN,Men,500M,Bronze,"THUNBERG, Clas"
1924,Chamonix,Skating,Speed skating,FIN,Men,Combined (4 Events),Bronze,"SKUTNABB, Julius"
1924,Chamonix,Skating,Speed skating,FIN,Men,Combined (4 Events),Gold,"THUNBERG, Clas"
1924,Chamonix,Skating,Speed skating,NOR,Men,10000M,Bronze,"LARSEN, Roald"
1924,Chamonix,Skating,Speed skating,NOR,Men,1500M,Bronze,"MOEN, Sigurd"
1924,Chamonix,Skating,Speed skating,NOR,Men,1500M,Silver,"LARSEN, Roald"
1924,Chamonix,Skating,Speed skating,NOR,Men,5000M,Bronze,"LARSEN, Roald"
1924,Chamonix,Skating,Speed skating,NOR,Men,500M,Bronze,"LARSEN, Roald"
1924,Chamonix,Skating,Speed skating,NOR,Men,500M,Silver,"OLSEN, Oskar"
1924,Chamonix,Skating,Speed skating,NOR,Men,Combined (4 Events),Silver,"LARSEN, Roald"
1924,Chamonix,Skating,Speed skating,USA,Men,500M,Gold,"JEWTRAW, Charles"
1924,Chamonix,Skiing,Cross Country Skiing,FIN,Men,18KM,Bronze,"NIKU, Tapani"
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,18KM,Gold,"HAUG, Thorleif"
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,18KM,Silver,"GROTTUMSBRAATEN, Johan"
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,50KM,Bronze,"GROTTUMSBRAATEN, Johan"
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,50KM,Gold,"HAUG, Thorleif"
1924,Chamonix,Skiing,Cross Country Skiing,NOR,Men,50KM,Silver,"STRÖMSTAD, Thoralf"
1924,Chamonix,Skiing,Nordic Combined,NOR,Men,Individual,Bronze,"GROTTUMSBRAATEN, Johan"
1924,Chamonix,Skiing,Nordic Combined,NOR,Men,Individual,Gold,"HAUG, Thorleif"
1924,Chamonix,Skiing,Nordic Combined,NOR,Men,Individual,Silver,"STRÖMSTAD, Thoralf"
1924,Chamonix,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold,"THAMS, Jacob Tullin"
1924,Chamonix,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Silver,"BONNA, Narve"
1924,Chamonix,Skiing,Ski Jumping,USA,Men,K90 Individual (70M),Bronze,"HAUGEN, Anders"
1928,St.Moritz,Bobsleigh,Bobsleigh,GER,Men,Five-Man,Bronze,GER
1928,St.Moritz,Bobsleigh,Bobsleigh,USA,Men,Five-Man,Gold,USA
1928,St.Moritz,Bobsleigh,Bobsleigh,USA,Men,Five-Man,Silver,USA
1928,St.Moritz,Bobsleigh,Skeleton,GBR,Men,Individual,Bronze,"NORTHESK, David, Earl of"
1928,St.Moritz,Bobsleigh,Skeleton,USA,Men,Individual,Gold,"HEATON, Jennison"
1928,St.Moritz,Bobsleigh,Skeleton,USA,Men,Individual,Silver,"HEATON, John"
1928,St.Moritz,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold,CAN
1928,St.Moritz,Ice Hockey,Ice Hockey,SUI,Men,Ice Hockey,Bronze,SUI
1928,St.Moritz,Ice Hockey,Ice Hockey,SWE,Men,Ice Hockey,Silver,SWE
1928,St.Moritz,Skating,Figure skating,AUT,Men,Individual,Silver,"BÖCKL, Willy"
1928,St.Moritz,Skating,Figure skating,AUT,Men,Pairs,Bronze,"WREDE, Ludwig"
1928,St.Moritz,Skating,Figure skating,AUT,Men,Pairs,Silver,"KAISER, Otto"
1928,St.Moritz,Skating,Figure skating,AUT,Women,Individual,Silver,"BURGER, Fritzi"
1928,St.Moritz,Skating,Figure skating,AUT,Women,Pairs,Bronze,"BRUNNER, Melitta"
1928,St.Moritz,Skating,Figure skating,AUT,Women,Pairs,Silver,"SCHOLZ, Lilly"
1928,St.Moritz,Skating,Figure skating,BEL,Men,Individual,Bronze,"VAN ZEEBROECK, Robert"
1928,St.Moritz,Skating,Figure skating,FRA,Men,Pairs,Gold,"BRUNET, Pierre"
1928,St.Moritz,Skating,Figure skating,FRA,Women,Pairs,Gold,"BRUNET, Andrée"
1928,St.Moritz,Skating,Figure skating,NOR,Women,Individual,Gold,"HENIE, Sonja"
1928,St.Moritz,Skating,Figure skating,SWE,Men,Individual,Gold,"GRAFSTRÖM, Gillis"
1928,St.Moritz,Skating,Figure skating,USA,Women,Individual,Bronze,"LOUGHRAN, Beatrix"
1928,St.Moritz,Skating,Speed skating,FIN,Men,1500M,Gold,"THUNBERG, Clas"
1928,St.Moritz,Skating,Speed skating,FIN,Men,5000M,Silver,"SKUTNABB, Julius"
1928,St.Moritz,Skating,Speed skating,FIN,Men,500M,Bronze,"FRIMAN, Jaakko"
1928,St.Moritz,Skating,Speed skating,FIN,Men,500M,Gold,"THUNBERG, Clas"
1928,St.Moritz,Skating,Speed skating,NOR,Men,1500M,Bronze,"BALLANGRUD, Ivar"
1928,St.Moritz,Skating,Speed skating,NOR,Men,1500M,Silver,"EVENSEN, Bernt"
1928,St.Moritz,Skating,Speed skating,NOR,Men,5000M,Bronze,"EVENSEN, Bernt"
1928,St.Moritz,Skating,Speed skating,NOR,Men,5000M,Gold,"BALLANGRUD, Ivar"
1928,St.Moritz,Skating,Speed skating,NOR,Men,500M,Bronze,"LARSEN, Roald"
1928,St.Moritz,Skating,Speed skating,NOR,Men,500M,Gold,"EVENSEN, Bernt"
1928,St.Moritz,Skating,Speed skating,USA,Men,500M,Bronze,"FARRELL, John O"
1928,St.Moritz,Skiing,Cross Country Skiing,NOR,Men,18KM,Bronze,"ÖDEGAARD, Reidar"
1928,St.Moritz,Skiing,Cross Country Skiing,NOR,Men,18KM,Gold,"GROTTUMSBRAATEN, Johan"
1928,St.Moritz,Skiing,Cross Country Skiing,NOR,Men,18KM,Silver,"HEGGE, Ole"
1928,St.Moritz,Skiing,Cross Country Skiing,SWE,Men,50KM,Bronze,"ANDERSSON, Volger"
1928,St.Moritz,Skiing,Cross Country Skiing,SWE,Men,50KM,Gold,"HEDLUND, Per Erik"
1928,St.Moritz,Skiing,Cross Country Skiing,SWE,Men,50KM,Silver,"JONSSON, Gustav"
1928,St.Moritz,Skiing,Nordic Combined,NOR,Men,Individual,Bronze,"SNERSRUD, John"
1928,St.Moritz,Skiing,Nordic Combined,NOR,Men,Individual,Gold,"GROTTUMSBRAATEN, Johan"
1928,St.Moritz,Skiing,Nordic Combined,NOR,Men,Individual,Silver,"VINJARENGEN, Hans"
1928,St.Moritz,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold,"ANDERSEN, Alf"
1928,St.Moritz,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Silver,"RUUD, Sigmund"
1928,St.Moritz,Skiing,Ski Jumping,TCH,Men,K90 Individual (70M),Bronze,"BURKERT, Rudolf"
1932,Lake Placid,Bobsleigh,Bobsleigh,GER,Men,Four-Man,Bronze,GER
1932,Lake Placid,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Silver,SUI
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Gold,USA
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Silver,USA
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Bronze,USA
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Gold,USA
1932,Lake Placid,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold,CAN
1932,Lake Placid,Ice Hockey,Ice Hockey,GER,Men,Ice Hockey,Bronze,GER
1932,Lake Placid,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Silver,USA
1932,Lake Placid,Skating,Figure skating,AUT,Men,Individual,Gold,"SCHÄFER, Karl"
1932,Lake Placid,Skating,Figure skating,AUT,Women,Individual,Silver,"BURGER, Fritzi"
1932,Lake Placid,Skating,Figure skating,CAN,Men,Individual,Bronze,"WILSON, Montgomery"
1932,Lake Placid,Skating,Figure skating,FRA,Men,Pairs,Gold,"BRUNET, Pierre"
1932,Lake Placid,Skating,Figure skating,FRA,Women,Pairs,Gold,"BRUNET, Andrée"
1932,Lake Placid,Skating,Figure skating,HUN,Men,Pairs,Bronze,"SZOLLAS, Laszlo"
1932,Lake Placid,Skating,Figure skating,HUN,Women,Pairs,Bronze,"ROTTER, Emilia"
1932,Lake Placid,Skating,Figure skating,NOR,Women,Individual,Gold,"HENIE, Sonja"
1932,Lake Placid,Skating,Figure skating,SWE,Men,Individual,Silver,"GRAFSTRÖM, Gillis"
1932,Lake Placid,Skating,Figure skating,USA,Men,Pairs,Silver,"BADGER, Sherwin"
1932,Lake Placid,Skating,Figure skating,USA,Women,Individual,Bronze,"VINSON, Maribel"
1932,Lake Placid,Skating,Figure skating,USA,Women,Pairs,Silver,"LOUGHRAN, Beatrix"
1932,Lake Placid,Skating,Speed skating,CAN,Men,10000M,Bronze,"STACK, Frank"
1932,Lake Placid,Skating,Speed skating,CAN,Men,1500M,Bronze,"LOGAN, William F."
1932,Lake Placid,Skating,Speed skating,CAN,Men,1500M,Silver,"HURD, Alexander"
1932,Lake Placid,Skating,Speed skating,CAN,Men,5000M,Bronze,"LOGAN, William F."
1932,Lake Placid,Skating,Speed skating,CAN,Men,500M,Bronze,"HURD, Alexander"
1932,Lake Placid,Skating,Speed skating,NOR,Men,10000M,Silver,"BALLANGRUD, Ivar"
1932,Lake Placid,Skating,Speed skating,NOR,Men,500M,Silver,"EVENSEN, Bernt"
1932,Lake Placid,Skating,Speed skating,USA,Men,10000M,Gold,"JAFFEE, Irving"
1932,Lake Placid,Skating,Speed skating,USA,Men,1500M,Gold,"SHEA, John A."
1932,Lake Placid,Skating,Speed skating,USA,Men,5000M,Gold,"JAFFEE, Irving"
1932,Lake Placid,Skating,Speed skating,USA,Men,5000M,Silver,"MURPHY, Edward"
1932,Lake Placid,Skating,Speed skating,USA,Men,500M,Gold,"SHEA, John A."
1932,Lake Placid,Skiing,Cross Country Skiing,FIN,Men,18KM,Bronze,"SAARINEN, Veli"
1932,Lake Placid,Skiing,Cross Country Skiing,FIN,Men,50KM,Gold,"SAARINEN, Veli"
1932,Lake Placid,Skiing,Cross Country Skiing,FIN,Men,50KM,Silver,"LIIKKANEN, Väinö"
1932,Lake Placid,Skiing,Cross Country Skiing,NOR,Men,50KM,Bronze,"RUSTADSTUEN, Arne"
1932,Lake Placid,Skiing,Cross Country Skiing,SWE,Men,18KM,Gold,"UTTERSTRÖM, Sven"
1932,Lake Placid,Skiing,Cross Country Skiing,SWE,Men,18KM,Silver,"WIKSTRÖM, Axel"
1932,Lake Placid,Skiing,Nordic Combined,NOR,Men,Individual,Bronze,"VINJARENGEN, Hans"
1932,Lake Placid,Skiing,Nordic Combined,NOR,Men,Individual,Gold,"GROTTUMSBRAATEN, Johan"
1932,Lake Placid,Skiing,Nordic Combined,NOR,Men,Individual,Silver,"STENEN, Ole"
1932,Lake Placid,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Bronze,"WALBERG, Kaare"
1932,Lake Placid,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold,"RUUD, Birger"
1932,Lake Placid,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Silver,"BECK, Hans"
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,GBR,Men,Four-Man,Bronze,GBR
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Gold,SUI
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Silver,SUI
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Silver,SUI
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Bronze,USA
1936,Garmisch Partenkirchen,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Gold,USA
1936,Garmisch Partenkirchen,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Silver,CAN
1936,Garmisch Partenkirchen,Ice Hockey,Ice Hockey,GBR,Men,Ice Hockey,Gold,GBR
1936,Garmisch Partenkirchen,Ice Hockey,Ice Hockey,USA,Men,Ice Hockey,Bronze,USA
1936,Garmisch Partenkirchen,Skating,Figure skating,AUT,Men,Individual,Bronze,"KASPAR, Felix"
1936,Garmisch Partenkirchen,Skating,Figure skating,AUT,Men,Individual,Gold,"SCHÄFER, Karl"
1936,Garmisch Partenkirchen,Skating,Figure skating,AUT,Men,Pairs,Silver,"PAUSIN, Erik"
1936,Garmisch Partenkirchen,Skating,Figure skating,AUT,Women,Pairs,Silver,"PAUSIN, Ilse"
1936,Garmisch Partenkirchen,Skating,Figure skating,GBR,Women,Individual,Silver,"COLLEDGE, Cecilia"
1936,Garmisch Partenkirchen,Skating,Figure skating,GER,Men,Individual,Silver,"BAIER, Ernst"
1936,Garmisch Partenkirchen,Skating,Figure skating,GER,Men,Pairs,Gold,"BAIER, Ernst"
1936,Garmisch Partenkirchen,Skating,Figure skating,GER,Women,Pairs,Gold,"HERBER, Maxi"
1936,Garmisch Partenkirchen,Skating,Figure skating,HUN,Men,Pairs,Bronze,"SZOLLAS, Laszlo"
1936,Garmisch Partenkirchen,Skating,Figure skating,HUN,Women,Pairs,Bronze,"ROTTER, Emilia"
1936,Garmisch Partenkirchen,Skating,Figure skating,NOR,Women,Individual,Gold,"HENIE, Sonja"
1936,Garmisch Partenkirchen,Skating,Figure skating,SWE,Women,Individual,Bronze,"HULTEN, Vivi-Anne"
1936,Garmisch Partenkirchen,Skating,Speed skating,AUT,Men,10000M,Bronze,"STIEPL, Max"
1936,Garmisch Partenkirchen,Skating,Speed skating,FIN,Men,10000M,Silver,"WASENIUS, Birger"
1936,Garmisch Partenkirchen,Skating,Speed skating,FIN,Men,1500M,Bronze,"WASENIUS, Birger"
1936,Garmisch Partenkirchen,Skating,Speed skating,FIN,Men,5000M,Bronze,"OJALA, Antero"
1936,Garmisch Partenkirchen,Skating,Speed skating,FIN,Men,5000M,Silver,"WASENIUS, Birger"
1936,Garmisch Partenkirchen,Skating,Speed skating,NOR,Men,10000M,Gold,"BALLANGRUD, Ivar"
1936,Garmisch Partenkirchen,Skating,Speed skating,NOR,Men,1500M,Gold,"MATHISEN, Charles"
1936,Garmisch Partenkirchen,Skating,Speed skating,NOR,Men,1500M,Silver,"BALLANGRUD, Ivar"
1936,Garmisch Partenkirchen,Skating,Speed skating,NOR,Men,5000M,Gold,"BALLANGRUD, Ivar"
1936,Garmisch Partenkirchen,Skating,Speed skating,NOR,Men,500M,Gold,"BALLANGRUD, Ivar"
1936,Garmisch Partenkirchen,Skating,Speed skating,NOR,Men,500M,Silver,"KROG, Georg"
1936,Garmisch Partenkirchen,Skating,Speed skating,USA,Men,500M,Bronze,"FREISINGER, Leo"
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing,FRA,Men,Alpine Combined,Bronze,"ALLAIS, Emile"
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing,GER,Men,Alpine Combined,Gold,"PFNÜR, Franz"
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing,GER,Men,Alpine Combined,Silver,"LANTSCHNER, Gustav"
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing,GER,Women,Alpine Combined,Gold,"CRANZ, Christel"
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing,GER,Women,Alpine Combined,Silver,"GRASEGGER, Käthe"
1936,Garmisch Partenkirchen,Skiing,Alpine Skiing,NOR,Women,Alpine Combined,Bronze,"SCHOU-NILSEN, Laila"
1936,Garmisch Partenkirchen,Skiing,Cross Country Skiing,FIN,Men,18KM,Bronze,"NIEMI, Pekka"
1936,Garmisch Partenkirchen,Skiing,Cross Country Skiing,NOR,Men,18KM,Silver,"HAGEN, Oddbjorn"
1936,Garmisch Partenkirchen,Skiing,Cross Country Skiing,SWE,Men,18KM,Gold,"LARSSON, Erik August"
1936,Garmisch Partenkirchen,Skiing,Cross Country Skiing,SWE,Men,50KM,Bronze,"ENGLUND, Nils-Joel"
1936,Garmisch Partenkirchen,Skiing,Cross Country Skiing,SWE,Men,50KM,Gold,"WIKLUND, Elis"
1936,Garmisch Partenkirchen,Skiing,Cross Country Skiing,SWE,Men,50KM,Silver,"WIKSTRÖM, Axel"
1936,Garmisch Partenkirchen,Skiing,Cross Country Skiing,FIN,Men,4X10KM Relay,Gold,FIN
1936,Garmisch Partenkirchen,Skiing,Cross Country Skiing,NOR,Men,4X10KM Relay,Silver,NOR
1936,Garmisch Partenkirchen,Skiing,Cross Country Skiing,SWE,Men,4X10KM Relay,Bronze,SWE
1936,Garmisch Partenkirchen,Skiing,Nordic Combined,NOR,Men,Individual,Bronze,"BRODAHL, Sverre"
1936,Garmisch Partenkirchen,Skiing,Nordic Combined,NOR,Men,Individual,Gold,"HAGEN, Oddbjorn"
1936,Garmisch Partenkirchen,Skiing,Nordic Combined,NOR,Men,Individual,Silver,"HOFFSBAKKEN, Olaf"
1936,Garmisch Partenkirchen,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Bronze,"ANDERSEN, Reidar"
1936,Garmisch Partenkirchen,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold,"RUUD, Birger"
1936,Garmisch Partenkirchen,Skiing,Ski Jumping,SWE,Men,K90 Individual (70M),Silver,"ERIKSSON, Sven"
1948,St.Moritz,Bobsleigh,Bobsleigh,BEL,Men,Four-Man,Silver,BEL
1948,St.Moritz,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Gold,SUI
1948,St.Moritz,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Silver,SUI
1948,St.Moritz,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Bronze,USA
1948,St.Moritz,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Gold,USA
1948,St.Moritz,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Bronze,USA
1948,St.Moritz,Bobsleigh,Skeleton,GBR,Men,Individual,Bronze,"CRAMMOND, John"
1948,St.Moritz,Bobsleigh,Skeleton,ITA,Men,Individual,Gold,"BIBBIA, Nino"
1948,St.Moritz,Bobsleigh,Skeleton,USA,Men,Individual,Silver,"HEATON, John"
1948,St.Moritz,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold,CAN
1948,St.Moritz,Ice Hockey,Ice Hockey,SUI,Men,Ice Hockey,Bronze,SUI
1948,St.Moritz,Ice Hockey,Ice Hockey,TCH,Men,Ice Hockey,Silver,TCH
1948,St.Moritz,Skating,Figure skating,AUT,Men,Individual,Bronze,"RADA, Edi"
1948,St.Moritz,Skating,Figure skating,AUT,Women,Individual,Silver,"PAWLIK, Eva"
1948,St.Moritz,Skating,Figure skating,BEL,Men,Pairs,Gold,"BAUGNIET, Pierre"
1948,St.Moritz,Skating,Figure skating,BEL,Women,Pairs,Gold,"LANNOY, Micheline"
1948,St.Moritz,Skating,Figure skating,CAN,Men,Pairs,Bronze,"DIESTELMEYER, Wallace"
1948,St.Moritz,Skating,Figure skating,CAN,Women,Individual,Gold,"SCOTT, Barbara Ann"
1948,St.Moritz,Skating,Figure skating,CAN,Women,Pairs,Bronze,"MORROW, Suzanne"
1948,St.Moritz,Skating,Figure skating,GBR,Women,Individual,Bronze,"ALTWEGG, Jeannette"
1948,St.Moritz,Skating,Figure skating,HUN,Men,Pairs,Silver,"KIRALY, Ede"
1948,St.Moritz,Skating,Figure skating,HUN,Women,Pairs,Silver,"KEKESSY, Andrea"
1948,St.Moritz,Skating,Figure skating,SUI,Men,Individual,Silver,"GERSCHWILER, Hans"
1948,St.Moritz,Skating,Figure skating,USA,Men,Individual,Gold,"BUTTON, Richard"
1948,St.Moritz,Skating,Speed skating,FIN,Men,10000M,Bronze,"LAMMIO, Pentti"
1948,St.Moritz,Skating,Speed skating,FIN,Men,10000M,Silver,"PARKKINEN, Lauri"
1948,St.Moritz,Skating,Speed skating,NOR,Men,1500M,Bronze,"LUNDBERG, Odd"
1948,St.Moritz,Skating,Speed skating,NOR,Men,1500M,Gold,"FARSTAD, Sverre"
1948,St.Moritz,Skating,Speed skating,NOR,Men,5000M,Gold,"LIAKLEV, Reidar"
1948,St.Moritz,Skating,Speed skating,NOR,Men,5000M,Silver,"LUNDBERG, Odd"
1948,St.Moritz,Skating,Speed skating,NOR,Men,500M,Gold,"HELGESEN, Finn"
1948,St.Moritz,Skating,Speed skating,NOR,Men,500M,Silver,"BYBERG, Thomas"
1948,St.Moritz,Skating,Speed skating,SWE,Men,10000M,Gold,"SEYFFARTH, Ake"
1948,St.Moritz,Skating,Speed skating,SWE,Men,1500M,Silver,"SEYFFARTH, Ake"
1948,St.Moritz,Skating,Speed skating,SWE,Men,5000M,Bronze,"HEDLUND, Göthe"
1948,St.Moritz,Skating,Speed skating,USA,Men,500M,Silver,USA
1948,St.Moritz,Skiing,Alpine Skiing,AUT,Men,Downhill,Silver,"GABL, Franz"
1948,St.Moritz,Skiing,Alpine Skiing,AUT,Women,Alpine Combined,Bronze,"MAHRINGER, Erika"
1948,St.Moritz,Skiing,Alpine Skiing,AUT,Women,Alpine Combined,Gold,"BEISER-JOCHUM, Trude"
1948,St.Moritz,Skiing,Alpine Skiing,AUT,Women,Downhill,Bronze,"HAMMERER, Resi"
1948,St.Moritz,Skiing,Alpine Skiing,AUT,Women,Downhill,Silver,"BEISER-JOCHUM, Trude"
1948,St.Moritz,Skiing,Alpine Skiing,AUT,Women,Slalom,Bronze,"MAHRINGER, Erika"
1948,St.Moritz,Skiing,Alpine Skiing,FRA,Men,Alpine Combined,Bronze,"COUTTET, James"
1948,St.Moritz,Skiing,Alpine Skiing,FRA,Men,Alpine Combined,Gold,"OREILLER, Henri"
1948,St.Moritz,Skiing,Alpine Skiing,FRA,Men,Downhill,Gold,"OREILLER, Henri"
1948,St.Moritz,Skiing,Alpine Skiing,FRA,Men,Slalom,Bronze,"OREILLER, Henri"
1948,St.Moritz,Skiing,Alpine Skiing,FRA,Men,Slalom,Silver,"COUTTET, James"
1948,St.Moritz,Skiing,Alpine Skiing,SUI,Men,Alpine Combined,Silver,"MOLITOR, Karl"
1948,St.Moritz,Skiing,Alpine Skiing,SUI,Men,Slalom,Gold,"REINALTER, Edi"
1948,St.Moritz,Skiing,Alpine Skiing,SUI,Women,Downhill,Gold,"SCHLUNEGGER, Hedy"
1948,St.Moritz,Skiing,Alpine Skiing,SUI,Women,Slalom,Silver,"MEYER, Antoinette"
1948,St.Moritz,Skiing,Alpine Skiing,USA,Women,Alpine Combined,Silver,"FRASER, Gretchen"
1948,St.Moritz,Skiing,Alpine Skiing,USA,Women,Slalom,Gold,"FRASER, Gretchen"
1948,St.Moritz,Skiing,Alpine Skiing,SUI,Men,Downhill,Bronze,SUI
1948,St.Moritz,Skiing,Cross Country Skiing,FIN,Men,50KM,Bronze,"VANNINEN, Benjamin"
1948,St.Moritz,Skiing,Cross Country Skiing,SWE,Men,18KM,Bronze,"ERIKSSON, Gunnar"
1948,St.Moritz,Skiing,Cross Country Skiing,SWE,Men,18KM,Gold,"LUNDSTRÖM, Martin"
1948,St.Moritz,Skiing,Cross Country Skiing,SWE,Men,18KM,Silver,"ÖSTENSSON, Nils"
1948,St.Moritz,Skiing,Cross Country Skiing,SWE,Men,50KM,Gold,"KARLSSON, Nils"
1948,St.Moritz,Skiing,Cross Country Skiing,SWE,Men,50KM,Silver,"ERIKSSON, Harald"
1948,St.Moritz,Skiing,Cross Country Skiing,FIN,Men,4X10KM Relay,Silver,FIN
1948,St.Moritz,Skiing,Cross Country Skiing,NOR,Men,4X10KM Relay,Bronze,NOR
1948,St.Moritz,Skiing,Cross Country Skiing,SWE,Men,4X10KM Relay,Gold,SWE
1948,St.Moritz,Skiing,Nordic Combined,FIN,Men,Individual,Gold,"HASU, Heikki"
1948,St.Moritz,Skiing,Nordic Combined,FIN,Men,Individual,Silver,"HUHTALA, Martti"
1948,St.Moritz,Skiing,Nordic Combined,SWE,Men,Individual,Bronze,"ISRAELSSON, Sven"
1948,St.Moritz,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Bronze,"SCHJELDERUP, Thorleif"
1948,St.Moritz,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Gold,"HUGSTED, Petter"
1948,St.Moritz,Skiing,Ski Jumping,NOR,Men,K90 Individual (70M),Silver,"RUUD, Birger"
1952,Oslo,Bobsleigh,Bobsleigh,FRG,Men,Four-Man,Gold,FRG
1952,Oslo,Bobsleigh,Bobsleigh,FRG,Men,Two-Man,Gold,FRG
1952,Oslo,Bobsleigh,Bobsleigh,SUI,Men,Four-Man,Bronze,SUI
1952,Oslo,Bobsleigh,Bobsleigh,SUI,Men,Two-Man,Bronze,SUI
1952,Oslo,Bobsleigh,Bobsleigh,USA,Men,Four-Man,Silver,USA
1952,Oslo,Bobsleigh,Bobsleigh,USA,Men,Two-Man,Silver,USA
1952,Oslo,Ice Hockey,Ice Hockey,CAN,Men,Ice Hockey,Gold,CAN
